b' -3.68  Get AngleZ: 0.72\r\n'
b'Get AngleX: 1.43  Get AngleY: 13.14  Get AngleZ: 1.81\r\n'
b'Get AngleX: 1.40  Get AngleY: 13.09  Get AngleZ: 1.12\r\n'
b'Get AngleX: 0.78  Get AngleY: 17.73  Get AngleZ: -1.46\r\n'
b'Get AngleX: 1.16  Get AngleY: 17.84  Get AngleZ: -2.29\r\n'
b'Get AngleX: 1.39  Get AngleY: 17.96  Get AngleZ: -2.55\r\n'
b'Get AngleX: 1.57  Get AngleY: 16.14  Get AngleZ: -4.36\r\n'
b'Get AngleX: 1.56  Get AngleY: 15.06  Get AngleZ: -4.65\r\n'
b'Get AngleX: 2.43  Get AngleY: 11.10  Get AngleZ: -6.09\r\n'
b'Get AngleX: 5.74  Get AngleY: -21.21  Get AngleZ: -5.80\r\n'
b'Get AngleX: 4.26  Get AngleY: -18.61  Get AngleZ: -6.98\r\n'
b'Get AngleX: 3.47  Get AngleY: -18.44  Get AngleZ: -7.02\r\n'
b'Get AngleX: 2.39  Get AngleY: -17.87  Get AngleZ: -6.92\r\n'
b'Get AngleX: -4.91  Get AngleY: -16.02  Get AngleZ: -3.60\r\n'
b'Get AngleX: -5.08  Get AngleY: -15.56  Get AngleZ: -3.63\r\n'
b'Get AngleX: -5.09  Get AngleY: -14.38  Get AngleZ: -3.95\r\n'
b'Get AngleX: -5.33  Get AngleY: -14.45  Get AngleZ: -4.09\r\n'
b'Get AngleX: -5.92  Get AngleY: -15.24  Get AngleZ: -3.09\r\n'
b'Get AngleX: -5.90  Get AngleY: -15.09  Get AngleZ: -1.54\r\n'
b'Get AngleX: -5.91  Get AngleY: -15.40  Get AngleZ: -1.40\r\n'
b'Get AngleX: -5.85  Get AngleY: -15.83  Get AngleZ: -1.27\r\n'
b'Get AngleX: -5.86  Get AngleY: -16.10  Get AngleZ: 0.16\r\n'
b'Get AngleX: -5.13  Get AngleY: -15.33  Get AngleZ: 0.06\r\n'
b'Get AngleX: -4.24  Get AngleY: -11.69  Get AngleZ: -0.65\r\n'
b'Get AngleX: -3.64  Get AngleY: -2.70  Get AngleZ: -0.93\r\n'
b'Get AngleX: -3.68  Get AngleY: -0.90  Get AngleZ: -0.84\r\n'
b'Get AngleX: -2.35  Get AngleY: 17.32  Get AngleZ: -0.19\r\n'
b'Get AngleX: -1.81  Get AngleY: 22.56  Get AngleZ: 0.14\r\n'
b'Get AngleX: -1.47  Get AngleY: 24.97  Get AngleZ: 0.40\r\n'
