b'Get AngleX: 88.08  Get AngleY: 74.18  Get AngleZ: -23.74\r\n'
b'Get AngleX: 89.02  Get AngleY: 74.39  Get AngleZ: -23.93\r\n'
b'Get AngleX: 89.07  Get AngleY: 74.85  Get AngleZ: -23.93\r\n'
b'Get AngleX: 89.31  Get AngleY: 76.05  Get AngleZ: -24.37\r\n'
b'Get AngleX: 88.85  Get AngleY: 76.40  Get AngleZ: -24.36\r\n'
b'Get AngleX: 89.00  Get AngleY: 76.67  Get AngleZ: -24.50\r\n'
b'Get AngleX: 89.20  Get AngleY: 76.69  Get AngleZ: -24.49\r\n'
b'Get AngleX: 92.20  Get AngleY: 75.73  Get AngleZ: -21.44\r\n'
b'Get AngleX: 93.05  Get AngleY: 74.73  Get AngleZ: -19.66\r\n'
b'Get AngleX: 93.05  Get AngleY: 73.01  Get AngleZ: -19.66\r\n'
b'Get AngleX: 92.39  Get AngleY: 73.06  Get AngleZ: -19.93\r\n'
b'Get AngleX: 92.62  Get AngleY: 69.76  Get AngleZ: -26.56\r\n'
b'Get AngleX: 89.56  Get AngleY: 64.77  Get AngleZ: -32.00\r\n'
b'Get AngleX: 87.63  Get AngleY: 57.78  Get AngleZ: -40.60\r\n'
b'Get AngleX: 86.69  Get AngleY: 55.91  Get AngleZ: -44.51\r\n'
b'Get AngleX: 64.95  Get AngleY: 45.13  Get AngleZ: -66.42\r\n'
b'Get AngleX: 46.81  Get AngleY: 34.57  Get AngleZ: -60.96\r\n'
b'Get AngleX: 48.45  Get AngleY: 36.69  Get AngleZ: -63.40\r\n'
b'Get AngleX: 45.25  Get AngleY: 37.40  Get AngleZ: -65.01\r\n'
b'Get AngleX: 41.72  Get AngleY: 38.74  Get AngleZ: -65.68\r\n'
b'Get AngleX: 33.07  Get AngleY: 44.06  Get AngleZ: -66.31\r\n'
b'Get AngleX: 32.38  Get AngleY: 45.75  Get AngleZ: -67.01\r\n'
b'Get AngleX: 31.91  Get AngleY: 48.05  Get AngleZ: -68.35\r\n'
b'Get AngleX: 32.27  Get AngleY: 50.38  Get AngleZ: -72.43\r\n'
b'Get AngleX: 32.15  Get AngleY: 53.91  Get AngleZ: -70.26\r\n'
b'Get AngleX: 33.28  Get AngleY: 53.31  Get AngleZ: -69.46\r\n'
b'Get AngleX: 36.19  Get AngleY: 50.48  Get AngleZ: -70.61\r\n'
b'Get AngleX: 35.45  Get AngleY: 50.77  Get AngleZ: -70.05\r\n'
b'Get AngleX: 30.90  Get AngleY: 51.00  Get AngleZ: -70.09\r\n'
b'Get AngleX: 30.29  Get AngleY: 50.76  Get AngleZ: -70.30\r\n'
b'Get AngleX: 34.34  Get AngleY: 55.20  Get AngleZ: -73.45\r\n'
b'Get AngleX: 34.13  Get AngleY: 54.97  Get AngleZ: -74.56\r\n'
b'Get AngleX: 34.96  Get AngleY: 54.72  Get AngleZ: -77.22\r\n'
b'Get AngleX: 37.38  Get AngleY: 54.96  Get AngleZ: -77.20\r\n'
b'Get AngleX: 40.38  Get AngleY: 57.77  Get AngleZ: -72.14\r\n'
b'Get AngleX: 39.29  Get AngleY: 59.79  Get AngleZ: -69.86\r\n'
b'Get AngleX: 40.12  Get AngleY: 60.28  Get AngleZ: -64.70\r\n'
b'Get AngleX: 39.04  Get AngleY: 60.98  Get AngleZ: -62.33\r\n'
b'Get AngleX: 37.94  Get AngleY: 61.33  Get AngleZ: -63.05\r\n'
b'Get AngleX: 36.61  Get AngleY: 64.21  Get AngleZ: -66.04\r\n'
b'Get AngleX: 33.96  Get AngleY: 63.69  Get AngleZ: -67.38\r\n'
b'Get AngleX: 35.76  Get AngleY: 60.52  Get AngleZ: -71.67\r\n'
b'Get AngleX: 33.95  Get AngleY: 61.27  Get AngleZ: -71.47\r\n'
b'Get AngleX: 33.27  Get AngleY: 61.19  Get AngleZ: -71.42\r\n'
b'Get AngleX: 34.62  Get AngleY: 63.29  Get AngleZ: -69.69\r\n'
b'Get AngleX: 34.81  Get AngleY: 63.90  Get AngleZ: -69.14\r\n'
b'Get AngleX: 35.92  Get AngleY: 64.71  Get AngleZ: -68.13\r\n'
b'Get AngleX: 36.02  Get AngleY: 65.09  Get AngleZ: -67.35\r\n'
b'Get AngleX: 36.67  Get AngleY: 64.76  Get AngleZ: -67.37\r\n'
b'Get AngleX: 36.76  Get AngleY: 64.62  Get AngleZ: -67.40\r\n'
b'Get AngleX: 36.66  Get AngleY: 64.56  Get AngleZ: -67.44\r\n'
b'Get AngleX: 35.73  Get AngleY: 64.80  Get AngleZ: -67.80\r\n'
b'Get AngleX: 35.75  Get AngleY: 65.10  Get AngleZ: -67.94\r\n'
b'Get AngleX: 35.80  Get AngleY: 65.43  Get AngleZ: -68.07\r\n'
b'Get AngleX: 36.69  Get AngleY: 66.10  Get AngleZ: -67.60\r\n'
b'Get AngleX: 37.03  Get AngleY: 66.33  Get AngleZ: -67.57\r\n'
b'Get AngleX: 37.49  Get AngleY: 66.33  Get AngleZ: -67.72\r\n'
b'Get AngleX: 37.68  Get AngleY: 66.54  Get AngleZ: -67.69\r\n'
b'Get AngleX: 37.22  Get AngleY: 66.79  Get AngleZ: -67.61\r\n'
b'Get AngleX: 37.18  Get AngleY: 66.81  Get AngleZ: -67.53\r\n'
b'Get AngleX: 36.58  Get AngleY: 67.04  Get AngleZ: -67.20\r\n'
b'Get AngleX: 34.83  Get AngleY: 67.86  Get AngleZ: -67.03\r\n'
b'Get AngleX: 34.68  Get AngleY: 68.00  Get AngleZ: -66.64\r\n'
